epoch,train_loss,train_acc,val_loss,val_acc,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,epoch_seconds
1,0.604913493837629,0.6745714285714286,0.47911724042892456,0.776,0.7322404371584699,0.7946666666666666,0.7426470588235294,0.788970588235294,342.98314213752747
2,0.4257131295970508,0.8134285714285714,0.30135718774795534,0.872,0.8259766615930999,0.8426666666666667,0.8336798336798337,0.8735966735966736,327.71796917915344
3,0.3549721005303519,0.8588571428571429,0.28990408343076707,0.886,0.8413701622971286,0.8733333333333333,0.8550643565111702,0.8885444901570898,327.0335373878479
4,0.29363702957970755,0.8768571428571429,0.2956998932957649,0.888,0.8506666666666667,0.8506666666666667,0.8506666666666667,0.888,325.88847517967224
5,0.26909445369243623,0.888,0.350351056933403,0.868,0.8197192841928965,0.8746666666666667,0.8390683520599251,0.873185861423221,357.32373094558716
6,0.23706497946807317,0.9074285714285715,0.32967095738649366,0.882,0.8354203935599285,0.884,0.8539885863620391,0.8859650859487526,401.8350877761841
7,0.2099496832915715,0.9174285714285715,0.3830301147699356,0.868,0.819027707144337,0.8613333333333333,0.8355885928376412,0.8720879252276847,478.1511130332947
8,0.18051402575629097,0.9237142857142857,0.32113357801735404,0.902,0.8628192809672512,0.8866666666666667,0.8736012299374196,0.9035577384422512,474.31535291671753
9,0.16017567082813808,0.9368571428571428,0.3341864921748638,0.88,0.8331396742839225,0.8853333333333333,0.8524667558423165,0.8843339365803762,475.9192955493927
10,0.14192686094982285,0.946,0.30272230853140353,0.902,0.8644686404045347,0.8813333333333333,0.8723419776051355,0.9031075610022978,478.28237318992615
11,0.12280813929864338,0.9554285714285714,0.40114207649603484,0.872,0.8242704483806957,0.88,0.8439450686641699,0.8770287141073658,477.704128742218
12,0.10245127793295043,0.9648571428571429,0.2971386318695731,0.91,0.8780241935483871,0.884,0.8809467117481785,0.9103528739463784,479.28935194015503
13,0.10125278159976006,0.9634285714285714,0.37933005908317863,0.868,0.8193297717338514,0.8506666666666667,0.832572298325723,0.8710806697108068,478.5105412006378
14,0.1269255967842681,0.9517142857142857,0.3152411536090076,0.89,0.8775764036958067,0.8173333333333334,0.8412890789572404,0.8852520040860848,478.00304341316223
15,0.10591796198274409,0.9622857142857143,0.37618092358112337,0.89,0.8472222222222222,0.8733333333333333,0.858811449107945,0.891990758567578,478.21160078048706
16,0.08766316861127105,0.9688571428571429,0.3109791027251631,0.894,0.8560291060291061,0.8653333333333333,0.8605079615738913,0.8946835109882878,478.70124220848083
17,0.06610339848377875,0.9768571428571429,0.33693873376143163,0.918,0.9005317698391055,0.876,0.8872877022635928,0.9167056119727951,478.77471113204956
18,0.090127097849335,0.9685714285714285,0.28460933312773706,0.906,0.8705533596837944,0.884,0.8769317783096187,0.9068373561803814,479.80378556251526
19,0.0721598504238895,0.9737142857142858,0.256929099842906,0.902,0.8675235215053764,0.8733333333333333,0.8703641972369056,0.9023842405193899,478.1697313785553
20,0.06726438883372715,0.9737142857142858,0.3677583183599636,0.904,0.8695752105142188,0.8773333333333333,0.873340229254185,0.9044985328576554,478.44335079193115
21,0.06782196592113801,0.9768571428571429,0.3696106297317892,0.898,0.8704202586206897,0.852,0.8605940334246306,0.8967001787676512,479.55551314353943
22,0.07330535310666476,0.974,0.3367268548840657,0.92,0.8949127687563347,0.8906666666666667,0.8927590940288264,0.9197838023335622,477.9315915107727
23,0.050043813282357796,0.9811428571428571,0.30680109367496333,0.92,0.9091485018419014,0.872,0.888420253955502,0.9181004664033385,477.9271800518036
24,0.055672475831050956,0.9805714285714285,0.261043154489249,0.926,0.9021533973919011,0.8999999999999999,0.9010689896737416,0.9259006732656324,477.88182950019836
25,0.049247942500880784,0.9831428571428571,0.2885369831649587,0.92,0.891853665744865,0.8959999999999999,0.8938969527204821,0.9202105084458023,478.93846917152405
26,0.05690487337378519,0.9797142857142858,0.24502321365845273,0.926,0.9097072557471264,0.8893333333333333,0.898862337974732,0.9250569924392764,478.495986700058
27,0.052398212290235925,0.9822857142857143,0.34121483864635227,0.89,0.8455159705159705,0.884,0.8614407142605217,0.8928936721233832,477.7529535293579
28,0.0408487697380728,0.9877142857142858,0.29591576505452394,0.914,0.8846235463882522,0.8866666666666667,0.8856376895621785,0.914113904861196,478.82567858695984
29,0.03800309960623937,0.9851428571428571,0.38643239237519444,0.914,0.8755071785268415,0.9106666666666667,0.8906625847364968,0.9159195276623662,478.95028495788574
30,0.06720795145205088,0.974,0.2708953615874052,0.912,0.874907829968712,0.9013333333333333,0.8867753623188406,0.9134963768115942,477.9958395957947
31,0.06819283199842487,0.9751428571428571,0.2821132295168936,0.912,0.8788348952191812,0.8906666666666667,0.8844926075268817,0.9126764112903227,478.8195595741272
32,0.03742296719843788,0.9865714285714285,0.2895964142503217,0.938,0.9221491228070176,0.9106666666666667,0.9162048925530477,0.9375726449520205,478.73579025268555
33,0.04305850108845958,0.9857142857142858,0.32673593163490294,0.908,0.8726106820183974,0.888,0.8798554085960844,0.9089303997158319,479.01256489753723
34,0.047792730497994595,0.9851428571428571,0.3849783627837896,0.896,0.8549791745550928,0.88,0.8661890645586299,0.8977684453227931,477.8319661617279
35,0.04022895362028586,0.9877142857142858,0.36605421352665873,0.908,0.8707446059801733,0.8933333333333333,0.8810484288048988,0.9093589027493328,478.5533802509308
36,0.04123527669354475,0.9868571428571429,0.31128406901404376,0.924,0.917647618368172,0.8746666666666667,0.8933638649425288,0.921942349137931,477.3242299556732
37,0.02491334562994806,0.9905714285714285,0.36642834086739456,0.922,0.9020986777886237,0.8866666666666667,0.8939935091410213,0.9212371772917788,477.0563883781433
38,0.055062789193487595,0.9825714285714285,0.3099201509875711,0.91,0.8780241935483871,0.884,0.8809467117481785,0.9103528739463784,478.68040204048157
39,0.042884947754043556,0.9842857142857143,0.41926913902990054,0.898,0.8593711769023734,0.876,0.8671314460788145,0.8991527675738202,477.83393907546997
40,0.03900765763981534,0.9868571428571429,0.2859366311656777,0.93,0.9075154426904599,0.9053333333333333,0.9064166118535393,0.9299060422783009,478.4032926559448
41,0.028408616683079993,0.9911428571428571,0.457616304845782,0.908,0.887311060803549,0.8613333333333333,0.8731776175036944,0.9064050817177264,478.1490128040314
42,0.03479586569565747,0.9902857142857143,0.35509505544783315,0.928,0.9114503135390863,0.8933333333333333,0.9018731328637781,0.9271898645849234,477.25896692276
43,0.038400161810551905,0.9871428571428571,0.3863728934614919,0.918,0.8859930830039526,0.9,0.8926426151211568,0.9187304596467156,478.64332938194275
44,0.02447566876768334,0.9917142857142857,0.35342972991801797,0.92,0.8904699220627259,0.8986666666666667,0.8944501910451542,0.9204154440480463,478.5418200492859
45,0.04017364359826648,0.9851428571428571,0.3623671252307249,0.914,0.8876095064619656,0.8813333333333333,0.8844030087477351,0.9136490475345581,477.5980017185211
46,0.03740024980317269,0.9885714285714285,0.3804530488140881,0.912,0.8800225662884724,0.888,0.8838952101496697,0.912456988452851,479.1347920894623
47,0.049980935930274424,0.9805714285714285,0.35606549065187576,0.91,0.8854601118111634,0.8706666666666667,0.8776848182396398,0.9091198199520524,480.547753572464
48,0.03583890113703508,0.9874285714285714,0.3761758933067322,0.9,0.8577209920795513,0.896,0.8737475759534583,0.9025331286360698,478.44587874412537
49,0.04097303808653461,0.9842857142857143,0.3680949300858192,0.902,0.8713461705264984,0.8653333333333333,0.8682731960148609,0.901600077423101,479.5913186073303
